6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"Interfacial Energy
(eV/angstrom^2)"
MgS-MgS-CuBr-ZnSe-ZnSe-GaP,0.18
MgS-MgS-CuBr-ZnSe-ZnSe-ZnSe,0.075
MgS-MgS-GaP-GaP-GaP-GaP,0.175
MgS-MgS-MgS-AlAs-AlAs-AlAs,0.145
MgS-MgS-MgS-AlAs-AlAs-CuBr,0.13699999999999998
MgS-MgS-MgS-AlAs-AlAs-GaAs,0.147
MgS-MgS-MgS-AlAs-AlAs-ZnSe,0.1
MgS-MgS-MgS-AlAs-CuBr-GaAs,0.204
MgS-MgS-MgS-AlAs-ZnSe-GaAs,0.166
MgS-MgS-MgS-AlAs-ZnSe-ZnSe,0.081
MgS-MgS-MgS-AlP-AlP-AlP,0.16899999999999998
MgS-MgS-MgS-AlP-AlP-CuBr,0.154
MgS-MgS-MgS-AlP-AlP-GaP,0.17
MgS-MgS-MgS-AlP-AlP-ZnSe,0.121
MgS-MgS-MgS-AlP-CuBr-CuBr,0.099
MgS-MgS-MgS-AlP-CuBr-GaP,0.215
MgS-MgS-MgS-AlP-CuBr-ZnSe,0.135
MgS-MgS-MgS-AlP-ZnSe-GaP,0.168
MgS-MgS-MgS-AlP-ZnSe-ZnSe,0.08800000000000001
MgS-MgS-MgS-BeTe-AlAs-AlAs,0.181
MgS-MgS-MgS-BeTe-AlAs-CuBr,0.14300000000000002
MgS-MgS-MgS-BeTe-AlAs-GaAs,0.182
MgS-MgS-MgS-BeTe-AlP-AlP,0.192
MgS-MgS-MgS-BeTe-AlP-CuBr,0.15
MgS-MgS-MgS-BeTe-AlP-GaP,0.193
MgS-MgS-MgS-BeTe-AlP-ZnSe,0.117
MgS-MgS-MgS-BeTe-BeTe-AlAs,0.152
MgS-MgS-MgS-BeTe-BeTe-AlP,0.14800000000000002
MgS-MgS-MgS-BeTe-BeTe-BeTe,0.084
MgS-MgS-MgS-BeTe-BeTe-CuBr,0.106
MgS-MgS-MgS-BeTe-BeTe-GaP,0.13699999999999998
MgS-MgS-MgS-BeTe-CuBr-GaAs,0.2
MgS-MgS-MgS-BeTe-CuBr-GaP,0.195
MgS-MgS-MgS-BeTe-CuBr-ZnSe,0.111
MgS-MgS-MgS-BeTe-GaAs-GaAs,0.16899999999999998
MgS-MgS-MgS-BeTe-GaP-GaP,0.174
MgS-MgS-MgS-BeTe-ZnSe-GaAs,0.158
MgS-MgS-MgS-CuBr-CuBr-CuBr,0.039
MgS-MgS-MgS-CuBr-CuBr-GaAs,0.16
MgS-MgS-MgS-CuBr-CuBr-GaP,0.152
MgS-MgS-MgS-CuBr-CuBr-ZnSe,0.058
MgS-MgS-MgS-CuBr-GaAs-GaAs,0.204
MgS-MgS-MgS-CuBr-GaP-GaP,0.22
MgS-MgS-MgS-CuBr-ZnSe-GaAs,0.18600000000000005
MgS-MgS-MgS-GaAs-GaAs-GaAs,0.149
MgS-MgS-MgS-GaP-GaP-GaP,0.16899999999999998
MgS-MgS-MgS-MgS-AlAs-CuBr,0.118
MgS-MgS-MgS-MgS-AlAs-ZnSe,0.08
MgS-MgS-MgS-MgS-AlP-AlP,0.154
MgS-MgS-MgS-MgS-AlP-ZnSe,0.08800000000000001
MgS-MgS-MgS-MgS-BeTe-AlAs,0.149
MgS-MgS-MgS-MgS-BeTe-AlP,0.146
MgS-MgS-MgS-MgS-BeTe-BeTe,0.085
MgS-MgS-MgS-MgS-BeTe-GaAs,0.146
MgS-MgS-MgS-MgS-BeTe-GaP,0.136
MgS-MgS-MgS-MgS-BeTe-ZnSe,0.055
MgS-MgS-MgS-MgS-CuBr-CuBr,0.044
MgS-MgS-MgS-MgS-CuBr-GaP,0.172
MgS-MgS-MgS-MgS-CuBr-ZnSe,0.077
MgS-MgS-MgS-MgS-GaAs-GaAs,0.14400000000000002
MgS-MgS-MgS-MgS-GaP-GaP,0.154
MgS-MgS-MgS-MgS-MgS-AlP,0.117
MgS-MgS-MgS-MgS-MgS-BeTe,0.085
MgS-MgS-MgS-MgS-MgS-CuBr,0.065
MgS-MgS-MgS-MgS-MgS-GaAs,0.128
MgS-MgS-MgS-MgS-MgS-GaP,0.122
MgS-MgS-MgS-MgS-MgS-ZnSe,0.022
MgS-MgS-MgS-MgS-ZnSe-GaAs,0.123
MgS-MgS-MgS-MgS-ZnSe-GaP,0.115
MgS-MgS-MgS-MgS-ZnSe-ZnSe,0.021
MgS-MgS-MgS-ZnSe-GaAs-GaAs,0.142
MgS-MgS-MgS-ZnSe-GaP-GaP,0.15
MgS-MgS-MgS-ZnSe-ZnSe-GaAs,0.124
MgS-MgS-MgS-ZnSe-ZnSe-GaP,0.115
MgS-MgS-MgS-ZnSe-ZnSe-ZnSe,0.021
MgS-MgS-ZnSe-GaAs-GaAs-GaAs,0.14800000000000002
MgS-MgS-ZnSe-GaP-GaP-GaP,0.165
MgS-MgS-ZnSe-ZnSe-GaAs-GaAs,0.14300000000000002
MgS-MgS-ZnSe-ZnSe-GaP-GaP,0.15
MgS-MgS-ZnSe-ZnSe-ZnSe-GaAs,0.124
MgS-MgS-ZnSe-ZnSe-ZnSe-GaP,0.116
MgS-MgS-ZnSe-ZnSe-ZnSe-ZnSe,0.021
MgS-ZnSe-GaAs-GaAs-GaAs-GaAs,0.149
MgS-ZnSe-GaP-GaP-GaP-GaP,0.168
MgS-ZnSe-ZnSe-GaP-GaP-GaP,0.165
MgS-ZnSe-ZnSe-ZnSe-GaAs-GaAs,0.14300000000000002
MgS-ZnSe-ZnSe-ZnSe-GaP-GaP,0.15
MgS-ZnSe-ZnSe-ZnSe-ZnSe-GaP,0.115
MgS-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,0.021
SiC-SiC-SiC-SiC-SiC-SiC,0.0
ZnO-GaN-GaN-GaN-GaN-GaN,0.159
ZnO-ZnO-GaN-GaN-GaN-GaN,0.179
ZnO-ZnO-ZnO-GaN-GaN-GaN,0.187
ZnO-ZnO-ZnO-ZnO-GaN-GaN,0.173
ZnO-ZnO-ZnO-ZnO-ZnO-ZnO,0.0
ZnS-GaP-GaP-GaP-GaP-GaP,0.08800000000000001
ZnS-ZnS-GaP-GaP-GaP-GaP,0.106
ZnS-ZnS-ZnS-ZnS-GaP-GaP,0.105
ZnS-ZnS-ZnS-ZnS-ZnS-ZnS,0.0
ZnSe-GaAs-GaAs-GaAs-GaAs-GaAs,0.065
ZnSe-GaP-GaP-GaP-GaP-GaP,0.075
ZnSe-ZnSe-GaAs-GaAs-GaAs-GaAs,0.08
ZnSe-ZnSe-GaP-GaP-GaP-GaP,0.097
ZnSe-ZnSe-ZnSe-GaAs-GaAs-GaAs,0.08199999999999999
ZnSe-ZnSe-ZnSe-GaP-GaP-GaP,0.1
ZnSe-ZnSe-ZnSe-ZnSe-GaAs-GaAs,0.077
ZnSe-ZnSe-ZnSe-ZnSe-GaP-GaP,0.08900000000000001
ZnSe-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,0.058
ZnSe-ZnSe-ZnSe-ZnSe-ZnSe-GaP,0.058
ZnSe-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,0.0
ZnTe-CdSe-CdSe-CdSe-CdSe-CdSe,0.014
ZnTe-CdSe-CdSe-CdSe-CdSe-InAs,0.037000000000000005
ZnTe-CdSe-CdSe-CdSe-InAs-InAs,0.052000000000000005
ZnTe-CdSe-CdSe-CdSe-InP-InP,0.07200000000000001
ZnTe-CdSe-CdSe-InP-InP-InP,0.081
ZnTe-CdSe-InP-InP-InP-InP,0.078
ZnTe-GaSb-CdSe-CdSe-CdSe-CdSe,0.064
ZnTe-GaSb-CdSe-CdSe-InAs-InAs,0.087
ZnTe-GaSb-GaSb-CdSe-CdSe-CdSe,0.07
ZnTe-GaSb-GaSb-CdSe-CdSe-InAs,0.08
ZnTe-GaSb-GaSb-CdSe-InAs-InAs,0.085
ZnTe-GaSb-GaSb-GaSb-CdSe-CdSe,0.07200000000000001
ZnTe-GaSb-GaSb-GaSb-GaSb-CdSe,0.07200000000000001
ZnTe-GaSb-GaSb-GaSb-GaSb-GaSb,0.046
ZnTe-GaSb-GaSb-InAs-InAs-InAs,0.048
ZnTe-GaSb-InAs-InAs-InAs-InAs,0.045
ZnTe-InAs-InAs-InAs-InAs-InAs,0.023
ZnTe-InP-InP-InP-InP-InP,0.039
ZnTe-ZnTe-CdSe-CdSe-CdSe-CdSe,0.013
ZnTe-ZnTe-CdSe-CdSe-CdSe-InAs,0.038
ZnTe-ZnTe-CdSe-CdSe-CdSe-InP,0.05
ZnTe-ZnTe-CdSe-CdSe-InAs-InAs,0.054000000000000006
ZnTe-ZnTe-CdSe-CdSe-InP-InP,0.07400000000000001
ZnTe-ZnTe-CdSe-InAs-InAs-InAs,0.058
ZnTe-ZnTe-CdSe-InP-InP-InP,0.083
ZnTe-ZnTe-GaSb-CdSe-CdSe-CdSe,0.065
ZnTe-ZnTe-GaSb-CdSe-CdSe-InAs,0.083
ZnTe-ZnTe-GaSb-GaSb-CdSe-CdSe,0.071
ZnTe-ZnTe-GaSb-GaSb-CdSe-InAs,0.087
ZnTe-ZnTe-GaSb-GaSb-GaSb-GaSb,0.054000000000000006
ZnTe-ZnTe-GaSb-GaSb-GaSb-InAs,0.063
ZnTe-ZnTe-GaSb-InAs-InAs-InAs,0.063
ZnTe-ZnTe-InAs-InAs-InAs-InAs,0.045
ZnTe-ZnTe-InP-InP-InP-InP,0.067
ZnTe-ZnTe-ZnTe-CdSe-CdSe-InAs,0.039
ZnTe-ZnTe-ZnTe-CdSe-InAs-InAs,0.055
ZnTe-ZnTe-ZnTe-GaSb-CdSe-CdSe,0.067
ZnTe-ZnTe-ZnTe-GaSb-CdSe-InAs,0.114
ZnTe-ZnTe-ZnTe-GaSb-GaSb-CdSe,0.07200000000000001
ZnTe-ZnTe-ZnTe-GaSb-GaSb-GaSb,0.056
ZnTe-ZnTe-ZnTe-InAs-InAs-InAs,0.053
ZnTe-ZnTe-ZnTe-InP-InP-InP,0.075
ZnTe-ZnTe-ZnTe-ZnTe-CdSe-CdSe,0.013
ZnTe-ZnTe-ZnTe-ZnTe-GaSb-CdSe,0.068
ZnTe-ZnTe-ZnTe-ZnTe-GaSb-GaSb,0.054000000000000006
ZnTe-ZnTe-ZnTe-ZnTe-GaSb-InAs,0.065
ZnTe-ZnTe-ZnTe-ZnTe-InAs-InAs,0.051
ZnTe-ZnTe-ZnTe-ZnTe-InP-InP,0.068
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,0.013
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,0.0
